FEMALE,MINORITY,MOM_ED,DAD_ED,SES_CONT,MATH_pre,T,MATH_post
0,1,8th grade or below,8th grade or below,-1.25,37.69,1,67.7837974046079
0,1,8th grade or below,8th grade or below,-1.16,25.6,1,55.693797404607906
1,1,8th grade or below,8th grade or below,-1.1,24.1,1,54.193797404607906
1,1,8th grade or below,8th grade or below,-1.05,32.46,1,62.553797404607906
0,1,HS diploma or equivalent,HS diploma or equivalent,-1.01,31.94,1,62.0337974046079
0,0,8th grade or below,8th grade or below,-0.99,21.14,1,51.2337974046079
0,1,9th - 12th grade,9th - 12th grade,-0.92,29.17,1,59.2637974046079
1,1,9th - 12th grade,9th - 12th grade,-0.89,20.62,1,50.7137974046079
1,1,9th - 12th grade,9th - 12th grade,-0.85,19.81,1,49.9037974046079
0,1,9th - 12th grade,9th - 12th grade,-0.84,21.93,1,52.023797404607905
1,0,9th - 12th grade,9th - 12th grade,-0.84,26.59,1,56.6837974046079
1,1,HS diploma or equivalent,9th - 12th grade,-0.81,22.38,1,52.4737974046079
0,1,9th - 12th grade,9th - 12th grade,-0.78,39.78,1,69.8737974046079
0,0,HS diploma or equivalent,8th grade or below,-0.74,42.07,1,72.1637974046079
0,0,HS diploma or equivalent,9th - 12th grade,-0.68,23.81,1,53.9037974046079
1,1,HS diploma or equivalent,9th - 12th grade,-0.68,37.08,1,67.1737974046079
1,1,9th - 12th grade,9th - 12th grade,-0.68,27.57,1,57.663797404607905
1,1,8th grade or below,8th grade or below,-0.68,22.58,1,52.673797404607896
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.66,24.24,1,54.3337974046079
0,0,9th - 12th grade,HS diploma or equivalent,-0.64,20.04,1,50.133797404607904
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.61,36.96,1,67.0537974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.61,28.02,1,58.1137974046079
0,0,9th - 12th grade,HS diploma or equivalent,-0.61,37.74,1,67.8337974046079
0,0,HS diploma or equivalent,9th - 12th grade,-0.61,35.89,1,65.9837974046079
1,0,HS diploma or equivalent,9th - 12th grade,-0.6,29.35,1,59.443797404607906
0,0,9th - 12th grade,HS diploma or equivalent,-0.6,29.83,1,59.923797404607896
0,1,8th grade or below,Some college,-0.58,41.68,1,71.7737974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.58,38.32,1,68.4137974046079
0,1,HS diploma or equivalent,9th - 12th grade,-0.58,22.71,1,52.803797404607906
1,0,9th - 12th grade,HS diploma or equivalent,-0.57,33.72,1,63.8137974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.56,38.04,1,68.1337974046079
0,0,9th - 12th grade,HS diploma or equivalent,-0.56,30.37,1,60.4637974046079
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.54,32,1,62.0937974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.52,22.6,1,52.693797404607906
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.51,22.56,1,52.6537974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.51,34.68,1,64.7737974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.51,26.69,1,56.7837974046079
1,1,Bachelor's degree,8th grade or below,-0.51,27.96,1,58.053797404607906
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.51,39.86,1,69.9537974046079
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.5,27.22,1,57.3137974046079
1,1,Vocational/technical program,9th - 12th grade,-0.5,31.34,1,61.4337974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.5,31.32,1,61.413797404607905
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.49,21.18,1,51.273797404607905
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.49,34.84,1,64.9337974046079
1,1,Some college,9th - 12th grade,-0.49,70.46,1,100.55379740460789
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.49,28.12,1,58.2137974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.48,56.14,1,86.2337974046079
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.48,41.3,1,71.3937974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.48,36.17,1,66.2637974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.48,47.08,1,77.1737974046079
0,1,Some college,9th - 12th grade,-0.47,18.95,1,49.0437974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.46,48.01,1,78.1037974046079
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.46,18.1,1,48.193797404607906
1,1,8th grade or below,Some college,-0.45,44.43,1,74.5237974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.44,33.39,1,63.4837974046079
1,1,HS diploma or equivalent,Vocational/technical program,-0.43,33.39,1,63.4837974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.43,25.27,1,55.3637974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.43,31.85,1,61.943797404607906
1,0,Vocational/technical program,9th - 12th grade,-0.42,43.81,1,73.9037974046079
1,0,Some college,9th - 12th grade,-0.42,35.45,1,65.5437974046079
0,0,Some college,HS diploma or equivalent,-0.41,50.61,1,80.7037974046079
1,0,Vocational/technical program,9th - 12th grade,-0.4,50.19,1,80.2837974046079
1,0,HS diploma or equivalent,Vocational/technical program,-0.39,35.93,1,66.0237974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.39,51.65,1,81.7437974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.39,52.6,1,82.6937974046079
1,0,Vocational/technical program,HS diploma or equivalent,-0.39,52.72,1,82.8137974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.39,57.6,1,87.6937974046079
1,1,Some college,HS diploma or equivalent,-0.38,32.12,1,62.2137974046079
1,1,HS diploma or equivalent,8th grade or below,-0.38,38.56,1,68.6537974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.38,35.72,1,65.8137974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.35,41.16,1,71.2537974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.34,26.84,1,56.9337974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.33,33.02,1,63.11379740460791
0,0,HS diploma or equivalent,Vocational/technical program,-0.33,37.38,1,67.47379740460791
0,0,Some college,Some college,-0.33,53.2,1,83.2937974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.33,32.87,1,62.9637974046079
1,0,HS diploma or equivalent,Some college,-0.33,34.01,1,64.1037974046079
1,1,HS diploma or equivalent,HS diploma or equivalent,-0.33,36.66,1,66.7537974046079
1,1,HS diploma or equivalent,Some college,-0.32,25.14,1,55.2337974046079
1,1,Some college,Some college,-0.32,29.56,1,59.6537974046079
0,1,Some college,9th - 12th grade,-0.32,38.21,1,68.3037974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.32,39.09,1,69.1837974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.32,27.51,1,57.6037974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.31,26.56,1,56.6537974046079
0,0,HS diploma or equivalent,HS diploma or equivalent,-0.31,17.3,1,47.3937974046079
1,1,HS diploma or equivalent,Vocational/technical program,-0.29,23.2,1,53.2937974046079
0,0,Some college,HS diploma or equivalent,-0.29,32.3,1,62.393797404607895
0,1,Vocational/technical program,HS diploma or equivalent,-0.29,27.82,1,57.913797404607905
0,0,Some college,HS diploma or equivalent,-0.28,26.48,1,56.5737974046079
0,0,Some college,Vocational/technical program,-0.27,18.68,1,48.773797404607905
1,0,HS diploma or equivalent,Vocational/technical program,-0.27,38.43,1,68.5237974046079
0,0,HS diploma or equivalent,9th - 12th grade,-0.26,47,1,77.0937974046079
0,1,Some college,HS diploma or equivalent,-0.26,23,1,53.0937974046079
1,1,Some college,HS diploma or equivalent,-0.25,28.95,1,59.0437974046079
0,0,HS diploma or equivalent,Vocational/technical program,-0.24,27.89,1,57.9837974046079
0,1,Some college,HS diploma or equivalent,-0.24,35.36,1,65.4537974046079
1,0,Some college,HS diploma or equivalent,-0.23,45.7,1,75.7937974046079
1,0,Some college,HS diploma or equivalent,-0.22,42.82,1,72.9137974046079
0,0,Some college,HS diploma or equivalent,-0.22,47.03,1,77.1237974046079
1,1,Some college,HS diploma or equivalent,-0.22,43.31,1,73.4037974046079
1,0,Some college,HS diploma or equivalent,-0.21,48.78,1,78.8737974046079
0,0,HS diploma or equivalent,Vocational/technical program,-0.21,57.14,1,87.2337974046079
1,0,Some college,9th - 12th grade,-0.21,31.72,1,61.8137974046079
1,1,HS diploma or equivalent,Some college,-0.2,40.68,1,70.7737974046079
0,0,Some college,HS diploma or equivalent,-0.2,39.23,1,69.3237974046079
0,0,Some college,HS diploma or equivalent,-0.2,35.51,1,65.6037974046079
1,0,HS diploma or equivalent,Vocational/technical program,-0.18,28.46,1,58.553797404607906
1,0,HS diploma or equivalent,Some college,-0.18,35.3,1,65.3937974046079
0,0,Some college,HS diploma or equivalent,-0.18,49.92,1,80.0137974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.18,26.42,1,56.5137974046079
1,0,HS diploma or equivalent,Some college,-0.15,36.05,1,66.1437974046079
0,1,Some college,Some college,-0.15,26.13,1,56.2237974046079
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.15,33.32,1,63.413797404607905
0,0,HS diploma or equivalent,Some college,-0.15,50.12,1,80.2137974046079
0,1,Some college,Some college,-0.15,28.64,1,58.7337974046079
1,0,Bachelor's degree,HS diploma or equivalent,-0.15,38.13,1,68.22379740460791
1,1,Some college,HS diploma or equivalent,-0.13,26.3,1,56.3937974046079
1,0,Some college,HS diploma or equivalent,-0.13,45.17,1,75.2637974046079
0,0,Some college,HS diploma or equivalent,-0.1,33.41,1,63.503797404607894
0,0,Some college,HS diploma or equivalent,-0.1,26.84,1,56.9337974046079
0,0,HS diploma or equivalent,Some college,-0.09,40.05,1,70.1437974046079
0,0,Some college,Some college,-0.09,43.91,1,74.0037974046079
0,1,HS diploma or equivalent,HS diploma or equivalent,-0.09,25.8,1,55.8937974046079
0,1,Some college,Some college,-0.07,31.82,1,61.913797404607905
1,0,Bachelor's degree,HS diploma or equivalent,-0.06,50.36,1,80.4537974046079
0,0,Some college,Vocational/technical program,-0.05,30.64,1,60.7337974046079
1,0,Vocational/technical program,Some college,-0.03,30.58,1,60.673797404607896
1,0,HS diploma or equivalent,HS diploma or equivalent,-0.03,31.41,1,61.5037974046079
